ISBN,Titulo,Autor,Editorial,A§o,GÇnero,Resumen
9.78607E+12,DOCTOR SUE•O,Stephen King,PLAZAˇ& JANES EDITORES,2013,Terror y suspenso,"Stephen King vuelve a los personajes y al territorio de una de sus novelas m†s emblem†ticas, el resplandor. Danny Torrance ahora es un adulto, y su particular destino le llevar† a salvar a una ni§a de 12 a§os (que tambiÇn posee un don especial) de una tribu de gente asesina y con poderes ps°quicos. Stephen King vuelve al mundo de, El resplandor, una de sus novelas m†s queridas y emblem†ticas. Ahora Danny Torrance, aquel ni§o aterrorizado del hotel Overlook, es un adulto alcoh¢lico y sin residencia fija que va de ciudad en ciudad atormentado por sus visiones y por los fantasmas de su infancia, que ha aprendido a controlar pero no a eliminar de su mente. Un d°a se siente atra°do por una ciudad de New Hampshire, donde encontrar† trabajo en una residencia de ancianos y donde se apuntar† a las reuniones de alcoh¢licos an¢nimos. En ese lugar le llega la visi¢n de abra Stone, una ni§a que necesita su ayuda. La persigue una tribu de seres paranormales que vive del resplandor de los ni§os especiales. Parecen personas mayores y totalmente normales que viajan por el pa°s en sus autocaravanas, pero su misi¢n es capturar, torturar y consumir a estos ni§os. Se alimentan de ellos para vivir y el resplandor de abra tiene tanta fuerza que les podr°a mantener vivos durante mucho tiempo. Danny sabe que sin su ayuda abra nunca conseguir°a escaparse de ellos; juntos emprender†n una lucha Çpica, una batalla sangrienta entre el bien y el mal, para intentar salvarla a ella y a los dem†s ni§os que sacrifican. Una novela que entusiasmar† a los millones de lectores de, El resplandor y que encantar† a todos los que conozcan a Danny Torrance por primera vez. Una novela ic¢nica en la obra de Stephen King."
7.50301E+12,TOKIO BLUES,Haruki Murakami,TUSQUETS EDITORES,2009,Literatura Universal,"Toru Watanabe, un ejecutivo de 37 a§os, escucha casualmente mientras aterriza en un aeropuerto europeo una vieja canci¢n de los Beatles, y la m£sica le hace retroceder a su juventud, al turbulento Tokio de finales de los sesenta. Toru recuerda, con una mezcla de melancol°a y desasosiego, a la inestable y misteriosa Naoko, la novia de su mejor -y £nico- amigo de la adolescencia, Kizuki. El suicidio de este les distancia durante un a§o hasta que se reencuentran en la universidad. Inician all° una relaci¢n °ntima; sin embargo, la fr†gil salud mental de Naoko se resiente y la internan en un centro de reposo. Al poco, Toru se enamora de Midori, una joven activa y resuelta. Indeciso, sumido en dudas y temores, experimenta el deslumbramiento y el desenga§o all† donde todo parece cobrar sentido: el sexo, el amor y la muerte. La situaci¢n, para Çl, para los tres, se ha vuelto insostenible; ninguno parece capaz de alcanzar el delicado equilibrio entre las esperanzas juveniles y la necesidad de encontrar un lugar en el mundo. Con un fino sentido del humor, Murakami ha escrito el conmovedor relato de una educaci¢n sentimental, pero tambiÇn de las pÇrdidas que implica toda maduraci¢n. Tokio blues supuso el reconocimiento definitivo del autor en su pa°s, donde se convirti¢ en un best seller."
9.78607E+12,LA LECCION DE AUGUST,R. J. Palacio,NUBE DE TINTA,2013,Ni§os y jovenes,"Su cara lo hace distinto y Çl solo quiere ser uno m†s. Camina siempre mirando al suelo, la cabeza gacha y el flequillo tratando en vano de esconder su rostro, pero, aun as°, es objeto de miradas furtivas, susurros ahogados y codazos de asombro. August sale poco, su vida transcurre entre las acogedoras paredes de su casa, entre la compa§°a de su familia, su perra Daisy y las incre°bles historias de la guerra de las galaxias. Este a§o todo va a cambiar, porque este a§o va a ir, por primera vez, a la escuela. All° aprender† la lecci¢n m†s importante de su vida, la que no se ense§a en las aulas ni en los libros de texto: crecer en la adversidad, aceptarse tal y como es, sonre°r a los d°as grises y saber que, al final, siempre encontrar† una mano amiga. Desde que sali¢ el 14 de febrero de 2012, la lecci¢n de August se ha situado en los puestos de las novelas m†s vendidos en la lista del New York times y ha encontrado en la red la mejor manera de promocionarse."
9.78607E+12,PEQUE•O CERDO CAPITALISTA,Sofia Macias,AGUILAR,2011,Finanzas,"®REALMENTE QUIERES SACARLE EL MEJOR PROVECHO A TU DINERO? ENTONCES ESTE LIBRO ES PARA TI. NO IMPORTA SI ERES MÈSICO, POETA Y LOCO; DOCTOR EN CIENCIAS OCULTAS, BOHEMIO, ACTIVISTA, AMANTE DE LA NATURALEZA, CIRUJANO, ARQUITECTO DE TU PROPIOS DESTINO, FLORICULTOR, PSICOANALISTAÖ NO IMPORTA SI NO TIENES IDEA DE FINANZAS PERSONALES, TIENES GRANDES NOCIONES O CREES QUE ERES UN EXPERTO. CON PEQUE•O CERDO CAPITALISTA TENDRµS LAS HERRAMIENTAS MµS EFECTIVAS PARA SABER AHORRAR, INVERTIR Y REPARTIR DE LA MEJOR MANERA TUS INGRESOS. ADEMµS, SOF÷A MAC÷AS TE EXPLICA DE MANERA CLARA, DIVERTIDA Y CON MUCHOS EJEMPLOS DE LA VIDA REAL, LOS CASOS EN LOS QUE PERSONAS C‡MO TÈ, HAN HECHO MARAVILLAS CON SU DINERO O HAN PERDIDO HASTA LA CAMISA; TE EXPLICA SIN ROLLOS LO QUE SON LOS SEGUROS Y CUµLES TE CONVIENEN, LAS AFORES, LOS PROS Y LOS CONTRAS DE LAS TARJETAS DE CRêDITO, LOS PRêSTAMOS, LAS COMISIONESÖ EN FIN, CON ESTE LIBRO COMPROBARµS UNA VEZ MµS QUE EL TIEMPO ES ORO, Y EN NUESTRO CASO DINERO: POR ESO URGE SABER C‡MO HACER QUE NUESTROS INGRESOS RINDAN AL MµXIMO."
9.78608E+12,"LATITUDES: CRONICA, VIAJE Y BALON",Alberto Lati,EDICIONES CAL Y ARENA,2013,Cronica y periodismo,"Latitudes es, como pocos libros, un concentrado de pasiones. Pasi¢n por las haza§as que hombres y mujeres atinan a realizar en los l°mites de lo imposible con sus cuerpos; pasi¢n por el ejercicio de una inteligencia que, sustentada en esos mismos cuerpos, los distingue del resto de los congÇneres hasta convertirlos en las versiones actuales de los hÇroes de la antigÅedad."
9.78607E+12,YO SOY MALALA,Malala Yousafzai,GRUPO EDITORIAL PATRIA,2013,Biograf°as,"CUANDO LOS TALIBANES TOMARON EL CONTROL DEL VALLE DE SWAT EN PAKISTµN, UNA NI•A ALZ‡ SU VOZ. MALALA YOUSAFZAI SE NEG‡ A SER SILENCIADA Y LUCH‡ POR SU DERECHO A LA EDUCACI‡N. EL MARTES 9 DE OCTUBRE DE 2012, CON QUINCE A•OS DE EDAD, ESTUVO A PUNTO DE PAGAR EL GESTO CON SU VIDA. LE DISPARARON EN LA CABEZA A QUEMARROPA MIENTRAS VOLV÷A A CASA DE LA ESCUELA EN AUTOBÈS, Y POCOS PENSARON QUE FUERA A SOBREVIVIR. SIN EMBARGO, LA MILAGROSA RECUPERACI‡N DE MALALA LA HA LLEVADO EN UN EXTRAORDINARIO PERIPLO DESDE UN REMOTO VALLE EN EL NORTE DE PAKISTµN HASTA LAS NACIONES UNIDAS EN NUEVA YORK. A LOS DIECISêIS A•OS SE HA CONVERTIDO EN UN S÷MBOLO GLOBAL DE LA PROTESTA PAC÷FICA, Y ES LA NOMINADA MµS JOVEN DE LA HISTORIA PARA EL PREMIO NOBEL DE LA PAZ. YO SOY MALALA ES EL EXCEPCIONAL RELATO DE UNA FAMILIA DESTERRADA POR EL TERRORISMO GLOBAL, DE LA LUCHA POR LA EDUCACI‡N DE LAS NI•AS, DE UN PADRE QUE, êL MISMO PROPIETARIO DE UNA ESCUELA, APOY‡ A SU HIJA Y LA ALENT‡ A ESCRIBIR Y A IR AL COLEGIO, Y DE UNOS PADRES VALIENTES QUE QUIEREN A SU HIJA POR ENCIMA DE TODO EN UNA SOCIEDAD QUE PRIVILEGIA A LOS HIJOS VARONES. YO SOY MALALA NOS HACE CREER EN EL PODER DE LA VOZ DE UNA PERSONA PARA CAMBIAR EL MUNDO."
9.78607E+12,EL HEROE DISCRETO,Mario Vargas Llosa,ALFAGUARA ,2013,Literatura Universal,"La novela cuenta la historia paralela de dos personajes: el ordenado y entra§able Fel°cito YanaquÇ, un peque§o empresario de Piura que es extorsionado, e Ismael Carrera, un exitoso hombre de negocios, due§o de una aseguradora en Lima, quien urde una sorpresiva venganza contra sus dos hijos holgazanes que quisieron verlo muerto. Viejos conocidos del mundo vargallosiano aparecen en estas p†ginas: el sargento Lituma y los inconquistables, don Rigoberto, do§a Lucrecia y Fonchito, todos moviÇndose ahora en un Per£ muy pr¢spero. Ambos personajes son, a su modo, discretos rebeldes que intentan hacerse cargo de sus propios destinos, pues tanto Ismael como Felicito le echan un pulso al curso de los acontecimientos. Mientras Ismael desaf°a todas las convenciones de su clase, Fel°cito se aferra a unas pocas m†ximas para plantar cara al chantaje. No son justicieros, pero est†n por encima de las mezquindades de su entorno para vivir seg£n sus ideales y deseos. Un libro lleno de humor, en clave de melodrama, que ocurre en el pujante Per£ actual, donde Piura y Lima ya no son espacios f°sicos, sino reinos de la imaginaci¢n poblados por los personajes del gran escritor que es Mario Vargas Llosa."
9.78607E+12,EL LARGO CAMINO HACIA LA LIBERTAD,Nelson Mandela,AGUILAR,2013,Biograf°as,"ES UNA APASIONANTE Y JUBILOSA AUTOBIOGRAF÷A DE NELSON MANDELA; UN LIBRO DESTINADO A OCUPAR UN LUGAR DE HONOR ENTRE LAS MEMORIAS DE LAS FIGURAS MµS IMPORTANTES DE LA HISTORIA. EN ESTE LIBRO NELSON ROLIHLAHLA MANDELA NARRA POR PRIMERA VEZ SU EXTRAORDINARIA VIDA; LA êPICA HISTORIA, HASTA AHORA IGNORADA POR LA MAYOR÷A, DE UNA LUCHA HEROICA, CON SUS DERROTAS, SUS RENOVADAS ESPERANZAS Y SU TRIUNFO FINAL. NO EXISTE OTRA PERSONALIDAD VIVA QUE, COMO NELSON MANDELA, REPRESENTE PARA MILLONES DE PERSONAS DE TODO EL MUNDO EL TRIUNFO DE LA DIGNIDAD Y LA ESPERANZA SOBRE LA DESESPERACI‡N Y EL ODIO, DE LA AUTODISCIPLINA Y EL AMOR SOBRE LA PERSECUCI‡N Y LA IGNOMINIA. EL LARGO CAMINO HACIA LA LIBERTAD DA CUERPO A ESE ESP÷RITU EN UN LIBRO IMPERECEDERO."
9.78607E+12,"RAYUELA, EDICION CONMEMORATIVA",Julio Cortazar,ALFAGUARA ,2013,Literatura Universal,"Contra novela, cr¢nica de una locura, el agujero negro de un enorme embudo, un feroz sacud¢n por las solapas, un grito de alerta, una especie de bomba at¢mica, una llamada al desorden necesario, una gigantesca humorada, un balbuceo. Con estas y otras expresiones se aludi¢ a rayuela, la novela que Julio Cort†zar comenz¢ a so§ar en 1958, se public¢ en 1963 y a partir de entonces cambi¢ la historia de la literatura as° como sacudi¢ la vida de miles de j¢venes en todo el mundo. Plena de ambici¢n literaria y vital, renovadora de las herramientas narrativas, destructora de lo establecido y buscadora de la ra°z de la poes°a, durante todas estas dÇcadas, rayuela sigui¢ siendo le°da con curiosidad, asombro, interÇs o devoci¢n. Llega a los lectores hoy, en su aniversario n£mero 50, acompa§ada de un apÇndice donde Cort†zar mismo cuenta la historia del libro que busc¢ el m†s all† de todas las fronteras. A cincuenta a§os de su primera edici¢n, rayuela sigue siendo un libro de hallazgos. Su aparici¢n fue un hurac†n que conmocion¢ a la literatura. Diez a§os despuÇs segu°a siendo una novela con su propio orden que invitaba a los j¢venes a imaginar su propio mundo. En la dÇcada de los ochenta, rayuela era m†s que una novela consagrada, se hab°a convertido en un monumento literario con millones de visitas; y en los £ltimos a§os del siglo XX el estilo que mezclaba surrealismo francÇs y boom latinoamericano segu°a siendo de gran influencia para nuevos narradores. Oliveira, la maga, Rocamadour o Morelli continuaban en el imaginario cotidiano con su melancol°a y sus derrotas. Para los lectores, rayuela es un viaje en el tiempo, revivir una Çpoca de luchas ganadas, recorrer el laberinto que ofrece varias formas de escape, aunque sus p†ginas sean cada vez m†s atrapantes; se puede optar por una lectura tradicional o seguir el tablero de direcci¢n, o bien, como al lector le plazca. Ahora, cinco dÇcadas despuÇs, la edici¢n conmemorativa de alfaguara constata que rayuela sigue siendo la novela que ha dado voz a varias generaciones, que liber¢ el gÇnero literario al llenarlo de modernidad. Ser† algo as° como una antinovela, la tentaci¢n de romper los moldes en que se petrifica este gÇnero, declar¢ Cort†zar hace cincuenta a§os."
9.78607E+12,EL CEREBRO DE MI HERMANO,Rafael Perez Gay,SEIX BARRAL,2013,Literatura Mexicana,"Èltimo reducto de la memoria y de los sue§os: el cerebro, donde todo ocurre, pero tambiÇn donde todo puede parar cuando se convierten una casa a oscuras habitada por nada, nadie, nunca. El cerebro de mi hermano es un relato de la evoluci¢n de un padecimiento degenerativo en el seno de una familia. Recuerdos, emociones, temores y expectativas, el singular proceso de adaptaci¢n a lo impensable, el dolor de atestiguar la extinci¢n de un ser querido, pero tambiÇn la historia compartida, los a§os, los lugares, las pasiones conjuntas, la apertura a la conciencia del propio final, el ajuste de cuentas inexorable con lo vivido?Rafael PÇrez gay ha escrito con el cerebro de mi hermano una de sus memorias personales m†s intensas, un informe final sobre los £ltimos momentos de JosÇ Mar°a PÇrez gay (1943-2013): fil¢sofo, escritor, traductor y diplom†tico; hermano mayor y amigo literario. Una reflexi¢n descarnada y precisa sobre la condici¢n humana, la enfermedad y la muerte."
9.78607E+12,ELEANOR & PARK,Rainbow Rowell,ALFAGUARA ,2013,Ni§os y jovenes,"Eleanor es la nueva chica en la ciudad, y nunca se ha sentido m†s sola. Con ropa que no combina, alocado cabello rojo y ca¢tica vida familiar, no podr°a resaltar m†s incluso si lo intentara. Entonces se sienta en el autob£s al lado de Park. Silencioso, cuidadoso, y, a los ojos de Eleanor, imposiblemente genial, Park ha descubierto que pasar bajo el radar es la mejor forma de salir adelante. Lentamente, de manera constante, a travÇs de conversaciones nocturnas y una pila de cassettes mezclados cada vez m†s grande, eleanor y park se enamoran. Se enamoran de la forma en que lo haces la primera vez, cuando tienes 16, y tienes nada y todo que perder... Establecida en el transcurso de un a§o escolar en 1986, Eleanor y park es divertida, triste, impactante y verdadera; un exquisito viaje a la nostalgia para cualquiera que jam†s haya olvidado a su primer amor."
9.78607E+12,MARAVILLOSO DESASTRE,Jamie McGuire,SUMA DE LETRAS,2013,Literatura Universal,"ABBY ABERNATHY ES UNA CHICA BUENA, NO SE METE EN PROBLEMAS Y ES MUY TRABAJADORA. TIENE UN OSCURO PASADO QUE LA PERSIGUE, AUNQUE ELLA NO QUIERA ACEPTARLO. TODO CAMBIARµ CUANDO ENTRE A LA UNIVERSIDAD. TRAVIS MADDOX ES UN ESTUDIANTE EJEMPLAR Y ES EL SEDUCTOR MµS POPULAR DE LA ESCUELA. ES ATRACTIVO Y SE GANA LA VIDA EN UN CLUB ITINERANTE, DONDE SE ORGANIZAN PELEAS. CUANDO ABBY RECHAZA A TRAVIS, êSTE BUSCARµ A TODA COSTA LOGRAR QUE LA CHICA LO ACEPTE, AUNQUE ESO LE CUESTE MUY CARO A AMBOS. LOS PERSONAJES DE ESTA HISTORIA ESTµN EN UN JUEGO DE EMOCIONES Y OBSESIONES; SI PIERDEN, AMBOS SALDRµN LASTIMADOS; SI GANAN, ESTARµN UNIDOS PARA SIEMPRE."
8478887598,HARRY POTTER Y LA PIEDRA FILOSOFALˇ,J. K. Rowling,PUBLICACIONES Y EDICIONES,2001,Literatura fant†stica,"Harry Potter se ha quedado huÇrfano y vive en casa de sus abominables t°os y del insoportable primo Dudley. Harry se siente muy triste y solo, hasta que un buen d°a recibe una carta que cambiar† su vida para siempre. En ella le comunican que ha sido aceptado como alumno en el colegio interno Hogwarts de magia y hechicer°a. A partir de ese momento, la suerte de Harry da un vuelco espectacular. En esa escuela tan especial aprender† encantamientos, trucos fabulosos y t†cticas de defensa contra las malas artes. Se convertir† en el campe¢n escolar de Quidditch, especie de f£tbol aÇreo que se juega montado sobre escobas, y se har† un pu§ado de buenos amigos, aunque tambiÇn algunos temibles enemigos. Pero sobre todo conocer† los secretos que le permitir†n cumplir con su destino. Pues, aunque no lo parezca a primera vista, Harry no es un chico com£n y corriente. ≠Es un verdadero mago!"
9.78607E+12,YO DECIDO,Gaby Vargas,AGUILAR,2013,Desarrollo humano,"Hay ocasiones en las que nos sentimos atrapados por malas decisiones, en que creemos que la felicidad est† en encontrar a la pareja ideal, el empleo s£per bien pagado o el viaje so§ado que nos prometieron. Nos dejamos llevar por la inercia de los d°as sin buscar los cambios que transformar†n nuestra vida, y lo que espero, a veces hasta nos quejamos de nuestra suerte."
9.7885E+12,PERCY JACKSON Y LOS DIOSES DEL OLIMPO 1: EL LADRON DEL RAYO,Rick Riordan,PUBLICACIONES Y EDICIONES,2009,Literatura fant†stica,"®QuÇ pasar°a si un d°a descubres que, en realidad, eres hijo de un dios griego que debe cumplir una misi¢n secreta? Pues eso es lo que le sucede a Percy Jackson, que a partir de ese momento se dispone a vivir los acontecimientos m†s emocionantes de su vida. Expulsado de seis colegios, Percy padece dislexia y dificultades para concentrarse, o al menos Çsa es la versi¢n oficial. Objeto de burlas por inventarse historias fant†sticas, ni siquiera Çl mismo acaba de creÇrselas hasta el d°a que los dioses del Olimpo le revelan la verdad: Percy es nada menos que un semidios, es decir, el hijo de un dios y una mortal. Y como tal ha de descubrir quiÇn ha robado el rayo de Zeus y as° evitar que estalle una guerra entre los dioses. Para cumplir la misi¢n contar† con la ayuda de sus amigos Grover, un joven s†tiro, y Annabeth, hija de la sabia Atenea. El ladr¢n del rayo da comienzo a una apasionante serie de aventuras sobre un mundo secreto."
9.78841E+12,WICKED: MEMORIAS DE UNA BRUJA MALA,Gregory Maguire,BOOKET,2009,Literatura fant†stica,"NO ES FµCIL SER LA MALA DEL CUENTO. EN UN PUEBLO DE PESCADORES DE MUNCHKINLAND NACE ELPHABA, UN BEBê DE PIEL VERDE Y DIENTES DE TIBUR‡N CON LOS QUE ARRANCA LOS DEDOS A LA COMADRONA. ELPHABA CRECERµ PARA CONVERTIRSE EN LA MALVADA BRUJA DEL OESTE, UNA PERSONA INGENIOSA, IRRITABLE Y POCO COMPRENDIDA QUE PONE EN TELA DE JUICIO TODAS NUESTRAS NOCIONES PRECONCEBIDAS SOBRE LA NATURALEZA DEL BIEN Y DEL MAL. EL MUSICAL WICKED, BASADO EN LA NOVELA, SE HA CONVERTIDO EN UN AUTêNTICO FEN‡MENO INTERNACIONAL. -UNA NOVELA INCRE÷BLE.- JOHN UPDIKE, THE NEW YORKER. -LA PRIMERA NOVELA DE GREGORY MAGUIRE, ASTUTAMENTE CONCEBIDA, ES A LA VEZ UN THRILLER FANTµSTICO, UN ESTUDIO PSICOL‡GICO Y UNA FµBULA POL÷TICA. RESULTA TOTALMENTE FASCINANTE. Y ES IMPOSIBLE NEGAR QUE LA PROSA DE GREGORY MAGUIRE TIENE MAGIA.- NEW YORK NEWSDAY."
9.78607E+12,HISTORIA DEL NARCOTRAFICO EN MêXICO,Guillermo Valdes Castellanos,AGUILAR,2013,Historia de MÇxico,"Una mirada dedicada y profunda a la historia del narcotr†fico en MÇxico, desde sus inicios en los campos de opio del norte del pa°s, manejados por inmigrantes chinos hasta el sexenio de Felipe calder¢n, cuando el nivel de violencia escal¢ como en ning£n otro momento hist¢rico en nuestro pa°s. Guillermo ValdÇs fue el director de CISEN en el sexenio de Calder¢n y su experiencia no es s¢lo acadÇmica y profesional; ValdÇs estuvo presente en algunos de los operativos m†s importantes de la guerra contra el narco, enfrent¢ a criminales y vivi¢ descubrimientos escalofriantes en carne propia. Ning£n testimonio sobre el narcotr†fico en MÇxico se ha contado desde la trinchera y desde el momento m†s cr°tico de la seguridad nacional."
9.78607E+12,INFERNO,Dan Brown,PLANETA,2013,Literatura Universal,"EN SUS BESTSELLERS INTERNACIONALES EL C‡DIGO DA VINCI, µNGELES Y DEMONIOS Y EL S÷MBOLO PERDIDO, DAN BROWN AUN‡ CON MAESTR÷A HISTORIA, ARTE, C‡DIGOS Y S÷MBOLOS. EN SU FASCINANTE NUEVO THRILLER, INFERNO, BROWN RECUPERA SU ESENCIA CON SU NOVELA MµS AMBICIOSA HASTA LA FECHA. EN EL CORAZ‡N DE ITALIA, EL CATEDRµTICO DE SIMBOLOG÷A DE HARVARD ROBERT LANGDON SE VE ARRASTRADO A UN MUNDO TERROR÷FICO CENTRADO EN UNA DE LAS OBRAS MAESTRAS DE LA LITERATURA MµS IMPERECEDERAS Y MISTERIOSAS DE LA HISTORIA: EL INFIERNO DE DANTE. CON ESTE TEL‡N DE FONDO, LANGDON SE ENFRENTA A UN ADVERSARIO ESCALOFRIANTE Y LIDIA CON UN ACERTIJO INGENIOSO EN UN ESCENARIO DE ARTE CLµSICO, PASADIZOS SECRETOS Y CIENCIA FUTURISTA. APOYµNDOSE EN EL OSCURO POEMA êPICO DE DANTE, LANGDON, EN UNA CARRERA CONTRARRELOJ, BUSCA RESPUESTAS Y PERSONAS DE CONFIANZA ANTES DE QUE EL MUNDO CAMBIE IRREVOCABLEMENTE."
9.7885E+12,PERCY JACKSON Y LOS DIOSES DEL OLIMPO 2: EL MAR DE LOS MONSTRUOS,Rick Riordan,PUBLICACIONES Y EDICIONES,2010,Literatura fant†stica,DESDE QUE SABE QUE ES HIJO DE UN DIOS Y UNA MORTAL PERCY JACKSON ESPERA QUE EL DESTINO LE DEPARE CONTINUAS AVENTURAS.
9.78607E+12,CAZADORES DE SOMBRAS. VOL. 03: CIUDAD DE CRISTAL,Cassandra Clare,EDICIONES DESTINO,2010,Literatura fant†stica,"Para salvar la vida de su madre, Clary debe viajar hasta la Ciudad de Cristal, el hogar ancestral de los cazadores de sombras. Por si fuera poco, Jace no quiere que vaya y Simon ha sido encarcelado por los propios Cazadores de Sombras, que no se f°an de un vampiro resistente al sol. Mientras, Clary traba amistad con Sebasti†n, un misterioso cazador de sombras que se al°a con ella. Valentine est† dispuesto a acabar con todos los cazadores de sombras: la £nica opci¢n que les queda a Çstos es aliarse con sus mortales enemigos pero ®podr†n hombres lobo, vampiros y otras criaturas del submundo dejar a un lado sus diferencias con los cazadores de sombras?"
